,YEAR,SEX,AGE,INCOME,COHORT,RACE,EDUC,REALINC,WTSSALL
95,1972,1,40,0,1932,1,14,43994,.8893
96,1972,1,57,0,1915,1,15,74452,1.3339
97,1972,2,64,0,1908,1,16,24366,.8893
98,1972,1,34,0,1938,1,15,43994,.8893
99,1972,2,25,0,1947,1,12,30458,.8893
100,1972,1,28,0,1944,1,9,24366,1.3339
101,1972,1,41,0,1931,1,13,18951,.8893
102,1972,2,36,0,1936,1,12,8122,.8893
103,1972,1,31,0,1941,1,15,60915,.8893
104,1972,1,45,0,1927,1,12,43994,.8893
105,1972,2,74,0,1898,1,8,8122,.8893
106,1972,2,64,0,1908,1,12,18951,.4446
107,1972,2,23,0,1949,1,13,8122,.4446
108,1972,2,27,0,1945,1,16,8122,.4446
109,1972,1,42,0,1930,1,13,2707,.4446
110,1972,1,47,0,1925,2,3,13537,.4446
111,1972,1,26,0,1946,2,12,2707,.8893
112,1972,2,34,0,1938,1,10,8122,.8893
113,1972,1,52,0,1920,1,14,24366,.8893
114,1972,1,24,0,1948,1,12,30458,1.7786
115,1972,2,36,0,1936,1,14,2707,.4446
116,1972,1,25,0,1947,2,8,8122,.8893
117,1972,2,46,0,1926,2,11,8122,1.3339
118,1972,2,54,0,1918,2,2,13537,1.7786
119,1972,2,27,0,1945,2,12,8122,.4446
120,1972,2,20,0,1952,2,12,8122,.4446
121,1972,1,53,0,1919,2,6,24366,1.3339
122,1972,1,47,0,1925,2,3,13537,2.6679
123,1972,1,70,0,1902,2,8,13537,1.3339
124,1972,2,69,0,1903,1,8,50763,1.7786
125,1972,2,49,0,1923,1,12,37226,.8893
126,1972,2,29,0,1943,1,16,0,.8893
127,1972,2,48,0,1924,1,12,0,1.3339
128,1972,2,67,0,1905,1,9,18951,.8893
129,1972,1,22,0,1950,1,12,37226,1.3339
130,1972,1,75,0,1897,1,6,18951,.8893
131,1972,1,38,0,1934,1,12,50763,.8893
132,1972,1,46,0,1926,1,15,60915,1.3339
133,1972,2,63,0,1909,1,8,18951,.8893
134,1972,2,34,0,1938,1,11,30458,.8893
135,1972,1,57,0,1915,1,4,30458,.8893
136,1972,2,22,0,1950,1,13,24366,.4446
137,1972,1,46,0,1926,1,8,18951,.8893
138,1972,2,73,0,1899,1,11,13537,.8893
139,1972,1,73,0,1899,1,12,2707,.8893
140,1972,1,53,0,1919,1,12,30458,.8893
141,1972,2,84,0,1888,1,12,2707,.4446
142,1972,1,27,0,1945,1,14,24366,.8893
143,1972,2,69,0,1903,1,10,8122,.4446
144,1972,2,82,0,1890,1,5,2707,.4446
145,1972,2,67,0,1905,1,16,13537,.4446
146,1972,1,41,0,1931,1,12,13537,.8893
147,1972,1,72,0,1900,1,2,2707,.4446
148,1972,1,38,0,1934,1,10,18951,.8893
149,1972,2,59,0,1913,1,12,30458,.8893
150,1972,1,42,0,1930,1,12,60915,.8893
151,1972,1,48,0,1924,1,12,30458,1.3339
152,1972,2,59,0,1913,1,10,13537,.8893
153,1972,2,39,0,1933,1,11,24366,.8893
154,1972,2,49,0,1923,1,12,8122,.8893
155,1972,2,33,0,1939,1,12,30458,.8893
156,1972,2,53,0,1919,1,11,13537,.4446
157,1972,2,30,0,1942,1,12,24366,.8893
158,1972,1,25,0,1947,1,12,24366,.8893
159,1972,2,36,0,1936,1,9,13537,.8893
160,1972,1,30,0,1942,1,12,37226,.8893
161,1972,1,28,0,1944,1,9,13537,.8893
162,1972,1,52,0,1920,1,8,43994,.8893
163,1972,1,44,0,1928,1,10,30458,.8893
164,1972,1,50,0,1922,1,18,24366,.4446
165,1972,2,38,0,1934,1,18,37226,.4446
166,1972,1,26,0,1946,1,18,13537,.8893
167,1972,2,28,0,1944,1,12,18951,1.3339
168,1972,2,81,0,1891,1,14,18951,.8893
169,1972,2,55,0,1917,1,12,30458,.8893
170,1972,1,76,0,1896,1,12,24366,.8893
171,1972,1,29,0,1943,1,12,43994,.8893
172,1972,1,19,0,1953,1,10,2707,1.3339
173,1972,2,76,0,1896,1,10,13537,.8893
174,1972,1,61,0,1911,1,19,30458,.4446
175,1972,1,26,0,1946,1,16,37226,.8893
176,1972,2,39,0,1933,1,14,18951,.4446
177,1972,1,19,0,1953,1,9,18951,.8893
178,1972,2,26,0,1946,1,16,8122,.8893
179,1972,2,21,0,1951,1,12,8122,.4446
180,1972,2,45,0,1927,2,10,18951,1.3339
181,1972,2,27,0,1945,2,12,8122,.8893
182,1972,1,76,0,1896,2,1,2707,.4446
183,1972,2,63,0,1909,2,5,13537,1.3339
184,1972,1,52,0,1920,2,6,18951,1.3339
185,1972,1,65,0,1907,2,1,13537,1.3339
186,1972,1,59,0,1913,2,2,13537,2.2232
187,1972,1,26,0,1946,1,14,109355,1.3339
188,1972,2,41,0,1931,1,16,109355,.8893
189,1972,1,56,0,1916,1,18,109355,.8893
190,1972,1,62,0,1910,1,15,50763,.8893
191,1972,1,29,0,1943,1,18,50763,.8893
192,1972,2,25,0,1947,1,16,60915,.8893
193,1972,2,41,0,1931,1,12,50763,.8893
194,1972,2,21,0,1951,1,12,0,1.3339
195,1972,2,49,0,1923,1,12,30458,.8893
196,1972,1,38,0,1934,1,9,43994,.8893
197,1972,1,50,0,1922,1,12,43994,.8893
198,1972,1,43,0,1929,1,12,30458,.8893
199,1972,1,32,0,1940,1,13,24366,.8893
200,1972,2,55,0,1917,1,12,13537,.4446
201,1972,2,27,0,1945,1,14,30458,.8893
202,1972,1,56,0,1916,1,13,43994,1.3339
203,1972,2,48,0,1924,1,8,74452,.8893
204,1972,1,56,0,1916,1,10,24366,1.3339
205,1972,2,44,0,1928,1,3,18951,.8893
206,1972,2,25,0,1947,1,9,8122,.4446
207,1972,1,32,0,1940,1,10,30458,.8893
208,1972,2,33,0,1939,1,13,74452,.8893
209,1972,1,48,0,1924,1,11,30458,.8893
210,1972,1,45,0,1927,1,12,24366,.8893
211,1972,2,45,0,1927,1,10,24366,.8893
212,1972,1,72,0,1900,1,7,2707,.8893
213,1972,2,45,0,1927,2,9,8122,.8893
214,1972,2,70,0,1902,2,6,8122,.8893
215,1972,2,31,0,1941,2,14,24366,.8893
216,1972,1,20,0,1952,2,12,8122,1.3339
217,1972,2,22,0,1950,2,9,2707,.4446
218,1972,1,63,0,1909,2,4,8122,.8893
219,1972,1,70,0,1902,2,6,8122,.8893
220,1972,1,68,0,1904,1,11,13537,.8893
221,1972,2,43,0,1929,1,12,0,.8893
222,1972,2,53,0,1919,1,17,60915,.8893
223,1972,2,44,0,1928,1,12,0,.8893
224,1972,2,37,0,1935,1,15,37226,.8893
225,1972,1,55,0,1917,1,12,0,2.6679
226,1972,1,52,0,1920,1,14,60915,.8893
227,1972,1,64,0,1908,1,10,60915,.8893
228,1972,1,99,0,9999,1,12,43994,.8893
229,1972,1,64,0,1908,1,11,18951,.8893
230,1972,2,27,0,1945,1,16,24366,1.3339
231,1972,1,28,0,1944,1,14,30458,.8893
232,1972,1,22,0,1950,1,15,2707,1.7786
233,1972,2,61,0,1911,1,14,37226,.8893
234,1972,2,82,0,1890,1,15,13537,.4446
235,1972,1,22,0,1950,1,12,2707,1.3339
236,1972,2,30,0,1942,1,10,37226,.8893
237,1972,2,29,0,1943,1,12,18951,.8893
238,1972,1,60,0,1912,1,4,13537,.8893
239,1972,2,39,0,1933,1,4,2707,.8893
240,1972,2,21,0,1951,1,9,2707,.8893
241,1972,1,56,0,1916,1,7,109355,1.7786
242,1972,1,72,0,1900,1,5,2707,.8893
243,1972,1,61,0,1911,1,8,13537,.8893
244,1972,1,71,0,1901,1,20,109355,.4446
245,1972,2,56,0,1916,1,9,8122,.8893
246,1972,2,71,0,1901,1,5,0,.8893
247,1972,1,48,0,1924,1,14,60915,.8893
248,1972,2,43,0,1929,1,12,43994,.8893
249,1972,2,61,0,1911,1,12,13537,.4446
250,1972,1,70,0,1902,1,12,18951,.8893
251,1972,2,48,0,1924,1,11,30458,.4446
252,1972,2,34,0,1938,1,12,24366,.8893
253,1972,1,19,0,1953,1,12,18951,1.7786
254,1972,2,52,0,1920,1,8,0,.8893
255,1972,1,30,0,1942,1,14,43994,.8893
256,1972,1,60,0,1912,1,12,30458,1.3339
257,1972,1,50,0,1922,1,16,50763,.8893
258,1972,2,47,0,1925,1,14,30458,1.3339
259,1972,2,50,0,1922,1,5,18951,.8893
260,1972,2,68,0,1904,1,5,2707,.8893
261,1972,1,50,0,1922,1,12,24366,.4446
262,1972,1,21,0,1951,1,10,0,.4446
263,1972,2,72,0,1900,1,3,2707,.8893
264,1972,1,52,0,1920,1,12,13537,.8893
265,1972,2,32,0,1940,1,12,30458,1.3339
266,1972,1,52,0,1920,1,12,30458,.8893
267,1972,2,60,0,1912,1,12,13537,.8893
268,1972,1,32,0,1940,2,12,24366,.8893
269,1972,2,60,0,1912,1,9,2707,.4446
270,1972,2,80,0,1892,1,7,2707,.4446
271,1972,1,58,0,1914,2,8,37226,.8893
272,1972,2,36,0,1936,2,12,30458,.8893
273,1972,2,31,0,1941,2,12,37226,.8893
274,1972,1,30,0,1942,2,16,50763,.8893
275,1972,1,63,0,1909,1,16,74452,.8893
276,1972,1,34,0,1938,2,13,43994,.8893
277,1972,2,29,0,1943,1,12,30458,.8893
278,1972,2,36,0,1936,1,5,24366,.8893
279,1972,2,39,0,1933,1,12,18951,.8893
280,1972,1,73,0,1899,1,8,13537,1.3339
281,1972,1,38,0,1934,1,10,24366,.8893
282,1972,1,55,0,1917,1,13,37226,1.7786
283,1972,1,30,0,1942,1,12,60915,.8893
284,1972,2,44,0,1928,1,12,8122,1.3339
285,1972,2,43,0,1929,1,8,30458,.8893
286,1972,1,38,0,1934,1,8,30458,.8893
287,1972,2,44,0,1928,1,12,18951,1.3339
288,1972,2,75,0,1897,1,9,2707,.4446
289,1972,1,43,0,1929,1,18,50763,.8893
290,1972,2,43,0,1929,1,9,24366,1.3339
291,1972,1,27,0,1945,1,12,24366,.8893
292,1972,1,58,0,1914,1,10,30458,1.3339
293,1972,1,45,0,1927,1,12,37226,2.2232
294,1972,1,31,0,1941,1,12,30458,.8893
295,1972,2,23,0,1949,1,12,18951,.8893
296,1972,1,69,0,1903,1,7,13537,.4446
297,1972,2,35,0,1937,1,8,8122,.4446
298,1972,2,43,0,1929,1,12,8122,.4446
299,1972,2,56,0,1916,1,7,13537,.8893
300,1972,2,36,0,1936,2,11,8122,.4446
301,1972,2,47,0,1925,2,6,0,2.2232
302,1972,1,29,0,1943,2,14,24366,.8893
303,1972,1,60,0,1912,2,12,24366,.8893
304,1972,2,37,0,1935,2,10,24366,.8893
305,1972,1,20,0,1952,2,12,13537,.8893
306,1972,2,55,0,1917,2,9,24366,1.3339
307,1972,2,71,0,1901,2,99,2707,.8893
308,1972,1,30,0,1942,2,11,13537,.8893
309,1972,2,59,0,1913,2,9,8122,.8893
310,1972,2,42,0,1930,2,12,24366,.8893
311,1972,2,55,0,1917,2,11,8122,.8893
312,1972,1,24,0,1948,2,12,8122,.8893
313,1972,1,30,0,1942,2,7,2707,.8893
314,1972,1,70,0,1902,2,0,8122,.4446
315,1972,2,43,0,1929,2,7,8122,.4446
316,1972,1,45,0,1927,1,11,30458,.8893
317,1972,1,25,0,1947,1,16,24366,.8893
318,1972,2,37,0,1935,1,0,8122,.4446
319,1972,1,22,0,1950,1,14,50763,1.3339
320,1972,2,27,0,1945,1,8,37226,1.7786
321,1972,2,28,0,1944,1,18,50763,.8893
322,1972,1,42,0,1930,1,12,50763,.8893
323,1972,2,42,0,1930,1,3,8122,.8893
324,1972,1,30,0,1942,1,12,50763,.8893
325,1972,2,40,0,1932,1,12,50763,1.3339
326,1972,1,37,0,1935,1,18,50763,.8893
327,1972,2,24,0,1948,1,16,60915,1.7786
328,1972,1,46,0,1926,1,12,37226,.8893
329,1972,2,53,0,1919,1,12,37226,1.3339
330,1972,1,64,0,1908,1,11,18951,1.3339
331,1972,2,20,0,1952,1,13,37226,.8893
332,1972,1,60,0,1912,1,8,24366,.8893
333,1972,1,33,0,1939,1,16,37226,.8893
334,1972,2,70,0,1902,1,16,18951,.8893
335,1972,1,60,0,1912,1,3,37226,.8893
336,1972,2,26,0,1946,1,11,30458,.8893
337,1972,2,74,0,1898,1,3,8122,1.3339
338,1972,2,33,0,1939,1,11,50763,.8893
339,1972,2,23,0,1949,2,11,2707,.8893
340,1972,1,19,0,1953,2,12,13537,.8893
341,1972,2,59,0,1913,2,4,13537,.8893
342,1972,2,70,0,1902,2,9,8122,.8893
343,1972,1,52,0,1920,2,2,18951,1.7786
344,1972,2,99,0,9999,2,0,2707,.4446
345,1972,1,75,0,1897,2,2,2707,.4446
346,1972,2,49,0,1923,1,8,0,.8893
347,1972,1,49,0,1923,1,8,30458,.8893
348,1972,1,46,0,1926,1,14,30458,.8893
349,1972,2,45,0,1927,1,12,13537,.4446
350,1972,2,28,0,1944,1,17,18951,.4446
351,1972,1,23,0,1949,1,12,24366,1.3339
352,1972,1,64,0,1908,1,12,43994,.8893
353,1972,2,33,0,1939,2,12,13537,.8893
354,1972,2,69,0,1903,2,6,13537,.8893
355,1972,1,72,0,1900,2,5,13537,1.3339
356,1972,1,59,0,1913,2,8,13537,.8893
357,1972,2,69,0,1903,2,6,8122,.8893
358,1972,2,58,0,1914,2,9,13537,.8893
359,1972,1,53,0,1919,2,9,8122,1.7786
360,1972,1,62,0,1910,2,5,8122,.4446
361,1972,1,58,0,1914,1,8,8122,.8893
362,1972,2,32,0,1940,1,14,13537,.8893
363,1972,2,58,0,1914,1,12,13537,.8893
364,1972,2,70,0,1902,1,12,2707,.8893
365,1972,1,69,0,1903,1,8,13537,.8893
366,1972,1,36,0,1936,1,10,24366,.8893
367,1972,1,47,0,1925,1,9,8122,.8893
368,1972,1,31,0,1941,1,12,37226,.8893
369,1972,2,81,0,1891,1,5,2707,1.7786
370,1972,1,24,0,1948,1,12,30458,.8893
371,1972,2,51,0,1921,1,12,30458,1.7786
372,1972,2,69,0,1903,1,3,2707,.4446
373,1972,2,30,0,1942,1,12,24366,.8893
374,1972,1,69,0,1903,1,12,8122,1.7786
375,1972,1,45,0,1927,1,11,30458,1.3339
376,1972,1,24,0,1948,1,12,24366,.8893
377,1972,1,66,0,1906,1,7,13537,.8893
378,1972,2,29,0,1943,1,12,24366,.8893
379,1972,2,57,0,1915,1,8,0,2.2232
380,1972,1,58,0,1914,1,8,37226,.8893
381,1972,1,77,0,1895,1,8,18951,.4446
382,1972,2,30,0,1942,1,18,50763,.8893
383,1972,2,56,0,1916,1,12,13537,.4446
384,1972,2,49,0,1923,1,13,24366,.8893
385,1972,2,52,0,1920,1,10,30458,1.3339
386,1972,1,40,0,1932,1,7,37226,1.7786
387,1972,1,48,0,1924,1,14,43994,2.2232
388,1972,2,47,0,1925,1,6,50763,1.3339
389,1972,1,31,0,1941,1,14,37226,.8893
390,1972,1,21,0,1951,2,13,2707,1.3339
391,1972,2,84,0,1888,2,8,2707,.4446
392,1972,2,61,0,1911,2,9,2707,.8893
393,1972,2,46,0,1926,2,13,2707,.4446
394,1972,2,39,0,1933,2,16,13537,1.3339
395,1972,2,64,0,1908,2,11,2707,.8893
396,1972,1,77,0,1895,2,4,2707,.8893
397,1972,1,25,0,1947,2,14,8122,1.7786
398,1972,1,53,0,1919,2,7,13537,.4446
399,1972,1,52,0,1920,2,10,24366,.8893
400,1972,1,71,0,1901,1,6,8122,.4446
401,1972,1,52,0,1920,1,8,30458,1.3339
402,1972,1,57,0,1915,1,7,24366,.8893
403,1972,2,69,0,1903,1,8,13537,.8893
404,1972,2,74,0,1898,1,9,8122,.8893
405,1972,2,58,0,1914,1,12,18951,.8893
406,1972,2,23,0,1949,1,12,18951,.8893
407,1972,2,61,0,1911,1,8,13537,.8893
408,1972,2,60,0,1912,1,11,2707,.8893
409,1972,2,36,0,1936,1,8,8122,.8893
410,1972,1,58,0,1914,1,17,24366,.8893
411,1972,1,28,0,1944,1,4,2707,.8893
412,1972,1,29,0,1943,1,2,8122,.8893
413,1972,1,25,0,1947,1,11,24366,.8893
414,1972,1,57,0,1915,1,12,30458,1.3339
415,1972,2,26,0,1946,1,12,0,1.7786
416,1972,1,55,0,1917,1,11,24366,1.3339
417,1972,2,29,0,1943,1,17,24366,.4446
418,1972,2,68,0,1904,1,7,0,1.3339
419,1972,2,18,0,1954,1,12,0,.8893
420,1972,1,49,0,1923,1,10,30458,1.3339
421,1972,1,64,0,1908,1,12,13537,.8893
422,1972,1,38,0,1934,1,12,43994,.8893
423,1972,1,30,0,1942,1,9,30458,.8893
424,1972,2,56,0,1916,1,10,0,1.3339
425,1972,2,20,0,1952,1,12,37226,1.3339
426,1972,1,19,0,1953,1,12,30458,1.3339
427,1972,2,50,0,1922,1,9,18951,.8893
428,1972,1,38,0,1934,1,14,60915,.8893
429,1972,2,64,0,1908,1,12,13537,.8893
430,1972,2,74,0,1898,1,11,18951,.8893
431,1972,2,75,0,1897,1,12,0,.4446
432,1972,1,22,0,1950,1,11,0,1.3339
433,1972,1,75,0,1897,1,8,8122,.4446
434,1972,2,23,0,1949,1,16,2707,.4446
435,1972,2,79,0,1893,1,12,13537,.4446
436,1972,1,60,0,1912,1,7,24366,.8893
437,1972,1,26,0,1946,1,15,30458,1.3339
438,1972,1,63,0,1909,1,12,18951,.8893
439,1972,2,63,0,1909,1,9,24366,.8893
440,1972,2,34,0,1938,1,12,43994,.8893
441,1972,1,33,0,1939,1,9,8122,1.3339
442,1972,1,53,0,1919,1,12,43994,.8893
443,1972,1,78,0,1894,1,15,109355,.8893
444,1972,2,22,0,1950,1,11,18951,.8893
445,1972,1,32,0,1940,1,10,60915,1.3339
446,1972,1,27,0,1945,2,13,37226,1.3339
447,1972,2,35,0,1937,2,15,30458,.8893
448,1972,2,39,0,1933,2,12,30458,.8893
449,1972,2,24,0,1948,2,14,18951,.8893
450,1972,2,22,0,1950,2,12,60915,1.7786
451,1972,1,28,0,1944,2,12,30458,.8893
452,1972,1,57,0,1915,2,13,30458,1.3339
453,1972,1,48,0,1924,2,14,30458,.8893
454,1972,1,26,0,1946,2,12,13537,1.7786
455,1972,2,50,0,1922,1,8,18951,.4446
456,1972,2,32,0,1940,1,12,30458,.8893
457,1972,2,56,0,1916,1,8,43994,1.3339
458,1972,1,26,0,1946,1,12,0,1.3339
459,1972,2,30,0,1942,1,12,8122,.8893
460,1972,1,83,0,1889,1,4,8122,.4446
461,1972,2,26,0,1946,1,12,2707,.4446
462,1972,1,20,0,1952,1,9,30458,1.7786
463,1972,1,41,0,1931,1,12,18951,.8893
464,1972,2,56,0,1916,1,7,8122,.8893
465,1972,2,83,0,1889,1,6,2707,1.3339
466,1972,2,27,0,1945,1,5,30458,1.3339
467,1972,2,21,0,1951,1,5,0,.8893
468,1972,1,19,0,1953,1,12,13537,1.3339
469,1972,1,41,0,1931,1,12,0,.8893
470,1972,1,35,0,1937,1,12,24366,.8893
471,1972,2,57,0,1915,1,9,13537,.8893
472,1972,2,42,0,1930,1,12,13537,1.3339
473,1972,2,54,0,1918,1,10,13537,.8893
474,1972,2,24,0,1948,1,12,2707,.8893
475,1972,1,62,0,1910,1,8,2707,1.3339
476,1972,1,39,0,1933,1,8,0,.8893
477,1972,1,24,0,1948,1,11,24366,.8893
478,1972,2,66,0,1906,1,12,24366,.8893
479,1972,1,55,0,1917,1,11,37226,1.3339
480,1972,1,25,0,1947,1,12,37226,1.7786
481,1972,2,61,0,1911,1,12,8122,.4446
482,1972,2,62,0,1910,1,11,2707,.4446
483,1972,1,29,0,1943,1,19,43994,.8893
484,1972,1,27,0,1945,1,16,43994,.8893
485,1972,2,44,0,1928,1,12,30458,.8893
486,1972,1,44,0,1928,1,12,24366,.8893
487,1972,2,34,0,1938,1,12,18951,.8893
488,1972,1,23,0,1949,1,11,18951,.8893
489,1972,2,58,0,1914,1,12,24366,1.3339
490,1972,1,24,0,1948,1,16,30458,1.3339
491,1972,2,34,0,1938,1,11,60915,.8893
492,1972,2,42,0,1930,1,12,37226,.8893
493,1972,2,32,0,1940,1,12,18951,.8893
494,1972,1,52,0,1920,1,7,13537,.8893
495,1972,2,22,0,1950,1,12,8122,1.3339
496,1972,2,35,0,1937,1,10,8122,.8893
497,1972,1,45,0,1927,1,14,18951,1.3339
498,1972,2,30,0,1942,1,10,2707,.8893
499,1972,2,35,0,1937,1,9,2707,.8893
500,1972,1,36,0,1936,1,8,30458,.8893
501,1972,1,57,0,1915,1,8,24366,1.3339
502,1972,1,28,0,1944,1,17,30458,.4446
503,1972,2,42,0,1930,1,16,60915,.8893
504,1972,2,23,0,1949,1,12,18951,.8893
505,1972,2,53,0,1919,1,15,37226,.8893
506,1972,1,22,0,1950,1,12,24366,.8893
507,1972,1,60,0,1912,1,12,24366,.8893
508,1972,1,56,0,1916,1,12,30458,.8893
509,1972,1,24,0,1948,1,15,18951,1.3339
510,1972,1,26,0,1946,1,12,24366,.8893
511,1972,2,55,0,1917,1,13,0,.8893
512,1972,2,20,0,1952,1,13,0,.8893
513,1972,1,30,0,1942,1,12,18951,1.7786
514,1972,2,26,0,1946,1,14,37226,.8893
515,1972,2,36,0,1936,1,12,24366,.8893
516,1972,2,42,0,1930,1,11,43994,.8893
517,1972,1,28,0,1944,1,16,24366,.8893
518,1972,1,54,0,1918,1,12,43994,.8893
519,1972,1,49,0,1923,1,12,30458,.8893
520,1972,2,30,0,1942,1,12,30458,.8893
521,1972,2,40,0,1932,1,16,43994,.8893
522,1972,1,55,0,1917,1,12,37226,.8893
523,1972,1,74,0,1898,1,6,8122,.4446
524,1972,1,48,0,1924,1,8,18951,1.3339
525,1972,2,63,0,1909,1,12,8122,.4446
526,1972,1,72,0,1900,1,10,8122,.4446
527,1972,2,30,0,1942,1,11,43994,.8893
528,1972,2,78,0,1894,1,8,8122,1.3339
529,1972,2,44,0,1928,1,8,37226,.8893
530,1972,1,48,0,1924,1,13,60915,.8893
531,1972,2,29,0,1943,1,12,30458,.8893
532,1972,1,21,0,1951,1,13,43994,1.3339
533,1972,2,20,0,1952,1,13,60915,1.3339
534,1972,2,52,0,1920,1,12,30458,.8893
535,1972,1,40,0,1932,1,14,60915,.8893
536,1972,1,42,0,1930,1,16,50763,.8893
537,1972,1,54,0,1918,1,14,37226,.8893
538,1972,2,43,0,1929,1,12,0,.8893
539,1972,1,25,0,1947,1,12,50763,.8893
540,1972,2,28,0,1944,1,12,18951,.8893
541,1972,2,43,0,1929,1,12,18951,.8893
542,1972,1,45,0,1927,1,10,24366,.8893
543,1972,2,48,0,1924,1,13,37226,1.3339
544,1972,2,36,0,1936,1,14,24366,.8893
545,1972,1,28,0,1944,1,14,37226,.8893
546,1972,1,27,0,1945,1,12,60915,.8893
547,1972,2,52,0,1920,1,8,18951,.8893
548,1972,2,20,0,1952,1,12,24366,.8893
549,1972,2,28,0,1944,1,12,8122,.8893
550,1972,1,38,0,1934,1,10,37226,.8893
551,1972,2,48,0,1924,1,14,13537,.8893
